display(log)
check(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/../model2.txt)
model is syntactically correct
data(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/data.txt)
data loaded
compile(1)
model compiled
inits(1,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/inits1.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(5000)
set(mu.y1)
set(mu.y2)
set(lam)
set(sgm1)
set(sgm2)
set(sgd1)
set(sgd2)
set(gam1)
set(gam2)
set(phx1)
set(phx2)
set(deviance)
dic.set()
update(5000)
coda(*,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	mu.y1[2]	-0.1641	0.03704	0.001656	-0.2382	-0.1631	-0.09334	5001	5000
	mu.y1[3]	-0.008487	0.02748	0.002121	-0.06195	-0.008497	0.04589	5001	5000
	mu.y1[4]	0.09448	0.03294	0.002795	0.02994	0.09468	0.1621	5001	5000
	mu.y1[5]	0.05529	0.03673	0.002643	-0.01875	0.05459	0.1279	5001	5000
	mu.y1[6]	-0.007378	0.02752	0.002062	-0.06315	-0.007334	0.04614	5001	5000
	mu.y1[7]	-0.0305	0.02237	5.639E-4	-0.07508	-0.03068	0.01347	5001	5000
	mu.y1[8]	0.006786	0.01983	6.954E-4	-0.03331	0.007042	0.045	5001	5000
	mu.y1[9]	-0.002722	0.03061	0.001714	-0.06379	-0.002517	0.05681	5001	5000
	mu.y1[10]	0.004705	0.0232	8.112E-4	-0.04116	0.004874	0.04964	5001	5000
	mu.y1[11]	-6.73E-5	0.02719	0.001376	-0.05461	0.0011	0.05209	5001	5000
	mu.y1[12]	0.07135	0.002108	5.278E-5	0.06719	0.07136	0.07551	5001	5000
	mu.y1[13]	0.1073	0.004376	7.234E-5	0.09879	0.1073	0.116	5001	5000
	mu.y1[14]	0.08374	0.004373	8.113E-5	0.07547	0.08371	0.0924	5001	5000
	mu.y1[15]	0.006905	0.004698	5.744E-5	-0.002187	0.006905	0.01616	5001	5000
	mu.y1[16]	-0.025	0.003003	4.726E-5	-0.0308	-0.02504	-0.01903	5001	5000
	mu.y1[17]	-0.0709	0.004538	6.644E-5	-0.07976	-0.07079	-0.06228	5001	5000
	mu.y2[1]	-0.1499	0.03691	0.003153	-0.2176	-0.1516	-0.07421	5001	5000
	mu.y2[2]	-0.529	0.04913	0.002973	-0.6281	-0.5278	-0.4365	5001	5000
	mu.y2[3]	-0.0466	0.02784	0.001969	-0.1032	-0.04607	0.004373	5001	5000
	mu.y2[4]	0.1116	0.035	0.003171	0.03936	0.1125	0.184	5001	5000
	mu.y2[5]	0.1108	0.03439	0.002529	0.04054	0.1118	0.1761	5001	5000
	mu.y2[6]	-0.1347	0.02981	0.002112	-0.191	-0.1356	-0.07592	5001	5000
	mu.y2[7]	-0.02654	0.02223	5.186E-4	-0.07001	-0.02647	0.01702	5001	5000
	mu.y2[8]	0.08134	0.01953	7.344E-4	0.04246	0.08131	0.1196	5001	5000
	mu.y2[9]	-0.1981	0.03987	0.002363	-0.279	-0.1976	-0.1217	5001	5000
	mu.y2[10]	-0.003053	0.02504	8.555E-4	-0.05353	-0.002966	0.04477	5001	5000
	mu.y2[11]	0.02486	0.02856	0.001315	-0.03186	0.02487	0.07999	5001	5000
	mu.y2[12]	0.06487	0.002247	5.484E-5	0.06059	0.06487	0.06928	5001	5000
	mu.y2[13]	0.1159	0.00467	8.743E-5	0.1069	0.1159	0.125	5001	5000
	mu.y2[14]	0.08504	0.004663	9.475E-5	0.07582	0.0851	0.09443	5001	5000
	mu.y2[15]	0.01188	0.004632	7.136E-5	0.002796	0.01188	0.02076	5001	5000
	mu.y2[16]	-0.025	0.002889	4.537E-5	-0.03054	-0.02501	-0.01934	5001	5000
	mu.y2[17]	-0.07597	0.004465	7.591E-5	-0.08463	-0.07592	-0.06715	5001	5000
	phx1[1,1]	0.03455	0.002262	2.061E-4	0.03039	0.03446	0.03945	5001	5000
	phx1[1,2]	0.02476	0.001536	1.042E-4	0.02191	0.02471	0.0279	5001	5000
	phx1[1,3]	0.001043	3.64E-4	1.041E-5	3.177E-4	0.00104	0.001739	5001	5000
	phx1[2,1]	0.02476	0.001536	1.042E-4	0.02191	0.02471	0.0279	5001	5000
	phx1[2,2]	0.04285	0.002905	2.146E-4	0.03782	0.04254	0.049	5001	5000
	phx1[2,3]	8.281E-4	4.327E-4	1.42E-5	-1.809E-5	8.383E-4	0.001681	5001	5000
	phx1[3,1]	0.001043	3.64E-4	1.041E-5	3.177E-4	0.00104	0.001739	5001	5000
	phx1[3,2]	8.281E-4	4.327E-4	1.42E-5	-1.809E-5	8.383E-4	0.001681	5001	5000
	phx1[3,3]	0.00594	2.199E-4	6.411E-6	0.005511	0.005938	0.006376	5001	5000
	phx2[1,1]	0.03246	0.002156	2.04E-4	0.02844	0.03238	0.0368	5001	5000
	phx2[1,2]	0.02276	0.001551	1.159E-4	0.01984	0.0227	0.02596	5001	5000
	phx2[1,3]	0.001345	3.868E-4	1.149E-5	5.83E-4	0.001351	0.002113	5001	5000
	phx2[2,1]	0.02276	0.001551	1.159E-4	0.01984	0.0227	0.02596	5001	5000
	phx2[2,2]	0.0423	0.002923	2.164E-4	0.03688	0.04212	0.04812	5001	5000
	phx2[2,3]	9.128E-4	4.694E-4	1.42E-5	3.056E-5	9.099E-4	0.001823	5001	5000
	phx2[3,1]	0.001345	3.868E-4	1.149E-5	5.83E-4	0.001351	0.002113	5001	5000
	phx2[3,2]	9.128E-4	4.694E-4	1.42E-5	3.056E-5	9.099E-4	0.001823	5001	5000
	phx2[3,3]	0.006628	2.426E-4	6.029E-6	0.006172	0.006619	0.007123	5001	5000
	sgd1	0.2445	0.03809	0.003774	0.1818	0.242	0.3263	5001	5000
	sgd2	0.2703	0.04045	0.003813	0.1974	0.2676	0.3586	5001	5000
	sgm1[1]	0.245	0.03611	0.003485	0.175	0.2428	0.3215	5001	5000
	sgm1[2]	1.655	0.09943	0.005276	1.473	1.651	1.856	5001	5000
	sgm1[3]	0.29	0.02345	0.001559	0.2456	0.2892	0.3372	5001	5000
	sgm1[4]	0.2415	0.02136	0.001649	0.2025	0.2397	0.287	5001	5000
	sgm1[5]	0.5617	0.04137	0.002595	0.4833	0.5608	0.6461	5001	5000
	sgm1[6]	0.3016	0.02225	0.001374	0.2602	0.3007	0.3491	5001	5000
	sgm1[7]	1.148	0.04415	0.001444	1.065	1.148	1.234	5001	5000
	sgm1[8]	0.6209	0.02981	0.001256	0.5646	0.6202	0.6814	5001	5000
	sgm1[9]	0.7528	0.04724	0.002776	0.6617	0.7527	0.8474	5001	5000
	sgm1[10]	0.899	0.04118	0.001645	0.8213	0.8979	0.9823	5001	5000
	sgm1[11]	0.6385	0.03881	0.001977	0.5662	0.6375	0.7181	5001	5000
	sgm1[12]	0.008749	2.826E-4	7.48E-6	0.008206	0.00874	0.009308	5001	5000
	sgm1[13]	0.05635	0.001629	5.083E-5	0.05322	0.05632	0.05967	5001	5000
	sgm1[14]	0.059	0.001673	4.694E-5	0.05575	0.05898	0.06226	5001	5000
	sgm1[15]	0.07562	0.001835	2.712E-5	0.07209	0.07558	0.07925	5001	5000
	sgm1[16]	0.02939	7.202E-4	1.088E-5	0.02799	0.02938	0.03083	5001	5000
	sgm1[17]	0.07139	0.001737	2.239E-5	0.06807	0.07135	0.07489	5001	5000
	sgm2[1]	0.266	0.04138	0.003738	0.1933	0.2631	0.3505	5001	5000
	sgm2[2]	1.793	0.1255	0.008347	1.57	1.79	2.051	5001	5000
	sgm2[3]	0.2559	0.02191	0.001419	0.2165	0.2546	0.3017	5001	5000
	sgm2[4]	0.1704	0.01656	0.001284	0.1416	0.1696	0.2056	5001	5000
	sgm2[5]	0.4357	0.03411	0.002356	0.3761	0.4341	0.508	5001	5000
	sgm2[6]	0.3231	0.02626	0.001715	0.2745	0.3222	0.3764	5001	5000
	sgm2[7]	1.011	0.04069	0.001357	0.9348	1.01	1.094	5001	5000
	sgm2[8]	0.5072	0.02673	0.001066	0.456	0.5066	0.5609	5001	5000
	sgm2[9]	0.9054	0.06529	0.004026	0.7816	0.9023	1.05	5001	5000
	sgm2[10]	0.9514	0.04643	0.001907	0.8654	0.9499	1.046	5001	5000
	sgm2[11]	0.6998	0.04333	0.002028	0.6158	0.6998	0.7844	5001	5000
	sgm2[12]	0.009101	3.117E-4	9.857E-6	0.008509	0.009097	0.009719	5001	5000
	sgm2[13]	0.05596	0.001808	6.351E-5	0.05251	0.05591	0.05965	5001	5000
	sgm2[14]	0.05829	0.001772	5.164E-5	0.05499	0.05828	0.06186	5001	5000
	sgm2[15]	0.06715	0.001716	2.378E-5	0.06385	0.06712	0.07058	5001	5000
	sgm2[16]	0.02514	6.724E-4	1.059E-5	0.02387	0.02514	0.02651	5001	5000
	sgm2[17]	0.06109	0.001547	2.321E-5	0.05819	0.06106	0.06422	5001	5000
dic.stats()

DIC
Dbar = post.mean of -2logL; Dhat = -2LogL at post.mean of stochastic nodes
	Dbar	Dhat	pD	DIC	
y1	56327.000	51972.300	4354.680	60681.700	
y2	48302.300	44419.500	3882.770	52185.100	
z1	-9126.350	-10874.500	1748.180	-7378.170	
z2	-9681.970	-11323.300	1641.350	-8040.610	
total	85821.000	74194.000	11627.000	97448.000	
history(*,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/history.odc)

History

save(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/log.odc)
save(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/log.txt)
